Id,Contact Owner Name,Created Time,Modified Time
5805028000000645014,Rachel White,2023-06-27 11:28:00,2023-12-22 13:34:00
5805028000000872003,Charlie Davis,2023-07-03 11:31:00,2024-05-21 10:23:00
5805028000000889001,Bob Brown,2023-07-02 22:37:00,2023-12-21 13:17:00
5805028000000907006,Bob Brown,2023-07-03 05:44:00,2023-12-29 15:20:00
5805028000000939010,Nina Scott,2023-07-04 10:11:00,2024-04-16 16:14:00
5805028000000942003,Alice Johnson,2023-07-04 12:57:00,2023-07-17 19:43:00
5805028000000961001,Bob Brown,2023-07-03 20:17:00,2023-10-05 10:44:00
5805028000000964025,Ian Miller,2023-07-04 15:40:00,2024-06-11 18:40:00
5805028000000964068,Alice Johnson,2023-07-04 22:03:00,2023-07-17 19:43:00
5805028000000968001,Jane Smith,2023-07-03 20:39:00,2024-06-18 10:10:00
5805028000000971007,Julia Nelson,2023-07-04 11:46:00,2023-12-19 16:14:00
5805028000000979006,Jane Smith,2023-07-04 07:10:00,2024-05-26 19:26:00
5805028000000983028,Bob Brown,2023-07-04 09:34:00,2023-07-17 19:43:00
5805028000000983083,Rachel White,2023-07-04 14:06:00,2024-06-10 13:29:00
5805028000000983158,Alice Johnson,2023-07-05 11:06:00,2023-07-17 19:21:00
5805028000001009140,Alice Johnson,2023-07-05 11:20:00,2023-07-25 14:15:00
5805028000001023002,Alice Johnson,2023-07-05 15:36:00,2023-07-17 19:43:00
5805028000001023108,Bob Brown,2023-07-06 10:10:00,2023-07-17 19:43:00
5805028000001023153,Bob Brown,2023-07-06 11:09:00,2023-07-06 11:14:00
5805028000001023188,Bob Brown,2023-07-06 13:25:00,2023-11-16 17:31:00
5805028000001030010,Bob Brown,2023-07-05 19:03:00,2023-07-17 19:43:00
5805028000001033019,Bob Brown,2023-07-05 21:32:00,2023-07-17 19:43:00
5805028000001066030,Alice Johnson,2023-07-06 09:32:00,2023-07-17 19:43:00
5805028000001068001,George King,2023-07-05 17:30:00,2023-09-13 11:01:00
5805028000001068118,Bob Brown,2023-07-06 11:05:00,2023-07-06 11:14:00
5805028000001068228,Bob Brown,2023-07-06 11:16:00,2023-07-06 11:19:00
5805028000001068263,Bob Brown,2023-07-06 11:19:00,2023-07-06 11:19:00
5805028000001068298,Bob Brown,2023-07-06 11:26:00,2023-07-06 11:26:00
5805028000001072065,Bob Brown,2023-07-06 10:49:00,2023-07-06 10:54:00
5805028000001073001,Quincy Vincent,2023-07-05 18:05:00,2024-05-23 20:53:00
5805028000001076115,Bob Brown,2023-07-06 14:14:00,2023-07-17 19:43:00
5805028000001079018,Jane Smith,2023-07-06 04:14:00,2023-07-17 19:43:00
5805028000001079118,Alice Johnson,2023-07-06 14:15:00,2023-07-17 19:43:00
5805028000001080048,Bob Brown,2023-07-06 10:58:00,2023-07-06 10:59:00
5805028000001129001,Julia Nelson,2023-07-06 15:42:00,2024-02-12 15:39:00
5805028000001154013,Alice Johnson,2023-07-06 17:03:00,2023-07-17 19:43:00
5805028000001187016,Quincy Vincent,2023-07-07 09:05:00,2024-05-31 15:31:00
5805028000001204013,Jane Smith,2023-07-07 06:52:00,2024-06-10 22:06:00
5805028000001204049,Jane Smith,2023-07-07 07:23:00,2023-07-17 19:43:00
5805028000001211013,Bob Brown,2023-07-07 07:39:00,2023-08-19 13:44:00
5805028000001296026,Jane Smith,2023-07-07 19:02:00,2023-11-03 16:01:00
5805028000001319001,Bob Brown,2023-07-07 17:25:00,2023-12-07 20:12:00
5805028000001325013,Alice Johnson,2023-07-07 18:47:00,2024-06-10 22:32:00
5805028000001326001,Bob Brown,2023-07-07 17:28:00,2023-07-17 19:42:00
5805028000001347003,Bob Brown,2023-07-08 11:38:00,2024-04-12 13:05:00
5805028000001347038,Bob Brown,2023-07-08 13:28:00,2024-01-23 11:32:00
5805028000001347171,Alice Johnson,2023-07-10 02:02:00,2023-07-17 19:42:00
5805028000001347266,Bob Brown,2023-07-10 14:29:00,2023-07-17 19:42:00
5805028000001348102,Alice Johnson,2023-07-09 09:56:00,2023-07-17 19:42:00
5805028000001348174,Jane Smith,2023-07-09 16:00:00,2023-10-11 18:20:00
5805028000001348266,Alice Johnson,2023-07-10 09:23:00,2023-07-17 19:42:00
5805028000001350049,Jane Smith,2023-07-08 08:55:00,2023-08-22 11:04:00
5805028000001350131,Diana Evans,2023-07-09 06:18:00,2023-09-19 07:34:00
5805028000001350346,Jane Smith,2023-07-10 14:04:00,2023-07-17 19:42:00
5805028000001355034,Diana Evans,2023-07-09 00:21:00,2023-08-11 15:01:00
5805028000001355070,Kevin Parker,2023-07-09 07:12:00,2024-03-25 22:01:00
5805028000001355141,Bob Brown,2023-07-10 10:30:00,2023-07-17 19:42:00
5805028000001361026,Bob Brown,2023-07-08 23:48:00,2023-07-17 19:42:00
5805028000001361061,Alice Johnson,2023-07-09 11:56:00,2023-07-17 19:42:00
5805028000001361120,Bob Brown,2023-07-09 18:34:00,2023-07-17 19:42:00
5805028000001363222,Ian Miller,2023-07-10 16:39:00,2024-05-30 11:55:00
5805028000001367055,George King,2023-07-08 20:45:00,2023-09-13 14:00:00
5805028000001369037,Bob Brown,2023-07-08 07:51:00,2024-01-18 15:48:00
5805028000001369231,Alice Johnson,2023-07-09 09:43:00,2023-07-17 19:42:00
5805028000001369290,Diana Evans,2023-07-09 15:57:00,2023-10-26 18:01:00
5805028000001369367,Alice Johnson,2023-07-10 08:48:00,2023-12-20 12:17:00
5805028000001372014,Bob Brown,2023-07-08 07:42:00,2023-07-17 19:42:00
5805028000001372140,Charlie Davis,2023-07-10 08:31:00,2024-04-03 13:35:00
5805028000001372296,Bob Brown,2023-07-11 09:50:00,2023-07-17 19:41:00
5805028000001375237,Alice Johnson,2023-07-10 12:55:00,2023-07-17 19:42:00
5805028000001377006,Bob Brown,2023-07-07 21:40:00,2024-02-02 08:37:00
5805028000001377138,Julia Nelson,2023-07-09 11:22:00,2023-11-07 02:18:00
5805028000001387008,Jane Smith,2023-07-08 09:38:00,2023-07-17 19:42:00
5805028000001387098,Alice Johnson,2023-07-10 12:38:00,2023-07-17 19:42:00
5805028000001387223,Bob Brown,2023-07-11 09:57:00,2023-07-11 10:06:00
5805028000001390227,Alice Johnson,2023-07-10 15:52:00,2023-07-17 19:42:00
5805028000001399190,Bob Brown,2023-07-10 09:38:00,2023-07-17 19:42:00
5805028000001401025,Jane Smith,2023-07-08 09:00:00,2023-11-29 22:08:00
5805028000001401189,Ulysses Adams,2023-07-10 08:10:00,2023-10-11 19:06:00
5805028000001404007,Jane Smith,2023-07-08 11:28:00,2024-06-10 23:14:00
5805028000001404153,Nina Scott,2023-07-10 18:41:00,2024-04-29 19:10:00
5805028000001455025,Jane Smith,2023-07-11 12:39:00,2024-01-26 19:25:00
5805028000001462013,Bob Brown,2023-07-11 10:35:00,2023-07-11 10:35:00
5805028000001462054,Bob Brown,2023-07-11 15:05:00,2023-07-17 19:41:00
5805028000001466030,Bob Brown,2023-07-11 10:50:00,2023-07-11 10:50:00
5805028000001469025,Jane Smith,2023-07-12 06:44:00,2023-09-14 19:00:00
5805028000001469060,Bob Brown,2023-07-12 08:28:00,2024-01-11 09:17:00
5805028000001469095,Nina Scott,2023-07-12 08:44:00,2023-12-05 13:49:00
5805028000001470013,Jane Smith,2023-07-11 15:40:00,2024-02-22 20:29:00
5805028000001471001,Bob Brown,2023-07-11 10:40:00,2023-07-11 10:40:00
5805028000001479057,Bob Brown,2023-07-12 10:06:00,2023-07-17 19:41:00
5805028000001481037,Jane Smith,2023-07-11 18:40:00,2023-12-07 21:12:00
5805028000001482001,Bob Brown,2023-07-11 10:44:00,2023-07-11 10:44:00
5805028000001482036,Jane Smith,2023-07-11 16:19:00,2023-09-06 16:58:00
5805028000001482071,Bob Brown,2023-07-12 01:58:00,2023-07-17 19:41:00
